timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1727349599511,684,HTTP Request Home Page,406,Not Acceptable,Thread Group 1-1,text,false,,612,126,2,2,https://shop.thetestingworld.com/,676,0,620
1727349599819,422,HTTP Request Home Page,200,OK,Thread Group 1-2,text,true,,25979,126,3,3,https://shop.thetestingworld.com/,418,0,324
1727349600251,133,HTTP Request Phones and PDA,406,Not Acceptable,Thread Group 1-2,text,false,,1373,432,3,3,https://shop.thetestingworld.com/shop/index.php?route=product/category&path=24,93,0,49
1727349600251,93,HTTP Request Phones and PDA-0,301,Moved Permanently,Thread Group 1-2,text,true,,761,216,3,3,http://shop.thetestingworld.com/shop/index.php?route=product/category&path=24,93,0,49
1727349600345,39,HTTP Request Phones and PDA-1,406,Not Acceptable,Thread Group 1-2,text,false,,612,216,3,3,https://shop.thetestingworld.com/shop/index.php?route=product/category&path=24,39,0,0
1727349600217,169,HTTP Request Phones and PDA,406,Not Acceptable,Thread Group 1-1,text,false,,1374,342,3,3,https://shop.thetestingworld.com/shop/index.php?route=product/category&path=24,124,0,51
1727349600217,124,HTTP Request Phones and PDA-0,301,Moved Permanently,Thread Group 1-1,text,true,,762,171,3,3,http://shop.thetestingworld.com/shop/index.php?route=product/category&path=24,124,0,51
1727349600342,44,HTTP Request Phones and PDA-1,406,Not Acceptable,Thread Group 1-1,text,false,,612,171,3,3,https://shop.thetestingworld.com/shop/index.php?route=product/category&path=24,44,0,0
1727349600224,201,HTTP Request Home Page,406,Not Acceptable,Thread Group 1-3,text,false,,612,126,3,3,https://shop.thetestingworld.com/,201,0,147
1727349600386,87,HTTP Request Tablets,406,Not Acceptable,Thread Group 1-2,text,false,,1373,432,3,3,https://shop.thetestingworld.com/shop/index.php?route=product/category&path=57,42,0,0
1727349600386,42,HTTP Request Tablets-0,301,Moved Permanently,Thread Group 1-2,text,true,,761,216,3,3,http://shop.thetestingworld.com/shop/index.php?route=product/category&path=57,42,0,0
1727349600429,44,HTTP Request Tablets-1,406,Not Acceptable,Thread Group 1-2,text,false,,612,216,3,3,https://shop.thetestingworld.com/shop/index.php?route=product/category&path=57,44,0,0
1727349600387,88,HTTP Request Tablets,406,Not Acceptable,Thread Group 1-1,text,false,,1374,342,3,3,https://shop.thetestingworld.com/shop/index.php?route=product/category&path=57,44,0,0
1727349600387,44,HTTP Request Tablets-0,301,Moved Permanently,Thread Group 1-1,text,true,,762,171,3,3,http://shop.thetestingworld.com/shop/index.php?route=product/category&path=57,44,0,0
1727349600432,43,HTTP Request Tablets-1,406,Not Acceptable,Thread Group 1-1,text,false,,612,171,3,3,https://shop.thetestingworld.com/shop/index.php?route=product/category&path=57,42,0,0
1727349600428,126,HTTP Request Phones and PDA,406,Not Acceptable,Thread Group 1-3,text,false,,1370,342,1,1,https://shop.thetestingworld.com/shop/index.php?route=product/category&path=24,78,0,44
1727349600428,78,HTTP Request Phones and PDA-0,301,Moved Permanently,Thread Group 1-3,text,true,,758,171,1,1,http://shop.thetestingworld.com/shop/index.php?route=product/category&path=24,78,0,44
1727349600506,48,HTTP Request Phones and PDA-1,406,Not Acceptable,Thread Group 1-3,text,false,,612,171,1,1,https://shop.thetestingworld.com/shop/index.php?route=product/category&path=24,47,0,0
1727349600555,102,HTTP Request Tablets,406,Not Acceptable,Thread Group 1-3,text,false,,1370,342,2,2,https://shop.thetestingworld.com/shop/index.php?route=product/category&path=57,37,0,0
1727349600555,37,HTTP Request Tablets-0,301,Moved Permanently,Thread Group 1-3,text,true,,758,171,2,2,http://shop.thetestingworld.com/shop/index.php?route=product/category&path=57,37,0,0
1727349600594,63,HTTP Request Tablets-1,406,Not Acceptable,Thread Group 1-3,text,false,,612,171,2,2,https://shop.thetestingworld.com/shop/index.php?route=product/category&path=57,63,0,0
1727349600614,167,HTTP Request Home Page,406,Not Acceptable,Thread Group 1-4,text,false,,612,126,1,1,https://shop.thetestingworld.com/,166,0,122
1727349600781,146,HTTP Request Phones and PDA,406,Not Acceptable,Thread Group 1-4,text,false,,1370,342,1,1,https://shop.thetestingworld.com/shop/index.php?route=product/category&path=24,90,0,49
1727349600781,90,HTTP Request Phones and PDA-0,301,Moved Permanently,Thread Group 1-4,text,true,,758,171,1,1,http://shop.thetestingworld.com/shop/index.php?route=product/category&path=24,90,0,49
1727349600872,55,HTTP Request Phones and PDA-1,406,Not Acceptable,Thread Group 1-4,text,false,,612,171,1,1,https://shop.thetestingworld.com/shop/index.php?route=product/category&path=24,55,0,0
1727349600929,89,HTTP Request Tablets,406,Not Acceptable,Thread Group 1-4,text,false,,1370,342,2,2,https://shop.thetestingworld.com/shop/index.php?route=product/category&path=57,37,0,0
1727349600929,38,HTTP Request Tablets-0,301,Moved Permanently,Thread Group 1-4,text,true,,758,171,2,2,http://shop.thetestingworld.com/shop/index.php?route=product/category&path=57,37,0,0
1727349600968,50,HTTP Request Tablets-1,406,Not Acceptable,Thread Group 1-4,text,false,,612,171,2,2,https://shop.thetestingworld.com/shop/index.php?route=product/category&path=57,50,0,0
1727349601014,162,HTTP Request Home Page,406,Not Acceptable,Thread Group 1-5,text,false,,612,126,1,1,https://shop.thetestingworld.com/,162,0,117
1727349601178,405,HTTP Request Phones and PDA,406,Not Acceptable,Thread Group 1-5,text,false,,1370,342,1,1,https://shop.thetestingworld.com/shop/index.php?route=product/category&path=24,267,0,122
1727349601178,267,HTTP Request Phones and PDA-0,301,Moved Permanently,Thread Group 1-5,text,true,,758,171,1,1,http://shop.thetestingworld.com/shop/index.php?route=product/category&path=24,267,0,122
1727349601446,137,HTTP Request Phones and PDA-1,406,Not Acceptable,Thread Group 1-5,text,false,,612,171,1,1,https://shop.thetestingworld.com/shop/index.php?route=product/category&path=24,137,0,0
1727349601586,279,HTTP Request Tablets,406,Not Acceptable,Thread Group 1-5,text,false,,1370,342,1,1,https://shop.thetestingworld.com/shop/index.php?route=product/category&path=57,138,0,0
1727349601586,138,HTTP Request Tablets-0,301,Moved Permanently,Thread Group 1-5,text,true,,758,171,1,1,http://shop.thetestingworld.com/shop/index.php?route=product/category&path=57,138,0,0
1727349601725,140,HTTP Request Tablets-1,406,Not Acceptable,Thread Group 1-5,text,false,,612,171,1,1,https://shop.thetestingworld.com/shop/index.php?route=product/category&path=57,139,0,0
